UserScreenName,UserName,Timestamp,Text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL,Hashtags,Fooji link
Ange,@_0_ange_0_,2021-01-06T22:52:53.000Z,Won this nifty prize pack! Woot woot! #primevideo #prize #gotitfree #fooji #contest #amazonprimevideo https://instagram.com/p/CJuJIO1F0r6/?igshid=rvxcq0lc7cwb… ,,,,,,https://twitter.com/_0_ange_0_/status/1346952910681239554,"['primevideo', 'prize', 'gotitfree', 'fooji', 'contest', 'amazonprimevideo']",https://instagram.com/p/CJuJIO1F0r6
Christian V.,@krisvega15,2021-01-06T16:54:54.000Z,"Thank you 
@gofooji
 @theoffice
 for the mug and funko pop! the candy too. I appreciate the amazing giveaway. #fooji #funkopop #theoffice
 https://instagram.com/p/CJtgKJ_BZ3m/?igshid=1wan8vaa2vyuj… ",,,,,https://abs.twimg.com/hashflags/PeacockTheOffice2021/PeacockTheOffice2021.png,https://twitter.com/krisvega15/status/1346862819237634048,"['fooji', 'funkopop', 'theoffice']",https://instagram.com/p/CJtgKJ
Peacock,@peacockTV,2021-01-01T22:58:45.000Z,"Replying to 
@alcovey11 @alcovey11
 Looking to get your hands on your own #TheOffice
 binge kit? Click here 
 https://l.fooji.com/l/aa05dab5",👉,,,,https://abs.twimg.com/hashflags/PeacockTheOffice2021/PeacockTheOffice2021.png,https://twitter.com/peacockTV/status/1345142446884315140,['TheOffice'],https://l.fooji.com/l/aa05dab5
